Course ID,Name,L-T-P-S-C,Pre-Requisites,cse,mnc,ee ,chem,meta,civ,mech
CS101,DISCRETE MATHEMATICAL STRUCTURES,3-1-0-5-3,,pc,pc,,,,,
CS304,Computer Networks,3-1-2-6-4,,pc,,,,,,
CS305,Software Engineering,3-0-2-7-4,,pc,,,,,,
CS302,Analysis and Design of Algorithms,3-1-0-5-3,,pc,,,,,,
CS303,Operating Systems,3-1-2-6-4,,pc,,,,,,
CS204,Computer Architecture,3-1-2-6-4,,pc,,,,,,
CS202,Programming Paradigms and Pragmatics,3-1-2-6-4,,pc,,,,,,
CS203,Digital Logic Design,3-1-3-6-4,,pc,,,,,,
CS201,Data Structures,3-1-2-6-4,,pc,,,,,,
CS306,Theory of Computation,3-1-0-5-3,,pc,,,,,,
MA101,Calculus,3-1-0-5-3,,sc,,,,,,
HS103,Professional English Communication,2-2/3-2-13/3-3,,hc,,,,,,
GE104,Introduction to Electrical Engineering,2-2/3-2-13/3-3,,gr,,,,,,
GE102,Workshop Practice,0-0-4-2-2,,gr,,,,,,
HS101,History of Technology,3/2-1/2-0- 5/2-1.5,,hc,,,,,,
PH101,Physics for Engineers,3-1-0-5-3,,sc,,,,,,
PH102,Physics for Engineers Lab,0-0-4-2-2,,sc,,,,,,
MA102,Linear Algebra,3-1-0-5-3,,sc,,,,,,
CY101,Chemistry for Engineers,3 -1-2-6-4,,sc,,,,,,
GE103,Introduction to Computer Programming & Data Structure,3-1-3-13/2-4.5,,gr,,,,,,
GE105,Engineering Drawing,0-0-3-3/2-1.5,,gr,,,,,,
GE101,Technology Museum Lab,0 -0-2-1-1,,gr,,,,,,
MA201,Differential Equations,3-1-0-5-3,,sc,,,,,,
EE201,Signals and Systems,3-1-0-5-3,,gr,,,,,,
HS201,Economics,3-1-0-5-3,,hc,,,,,,
GE107,Tinkering Lab,0 -0-3-3/2-1.5,,gr,,,,,,
MA202,Probability and Statistics,3-1-0-5-3,,sc,,,,,,
HS202,Human Geography and Societal Needs,1-1/3-4-11/3-3,,hc,,,,,,
GE108,Basic Electronics,2-2/3-2-13/3-3,,gr,,,,,,
GE109,Introduction to Engineering Products,0 -0-2-1-1,,gr,,,,,,
BM101,Biology for Engineers,3-1-0-5- 3,,sc,,,,,,
HS301,Industrial Management,3-1-0-5-3,,hc,,,,,,
HS104,Professional Ethics,1-1/3-1-13/6-1.5,,hc,,,,,,
CP301,Development Engineering Project,0-0-6-3-3,,cp,,,,,,
CP302,Capstone Project I,0-0-6-3-3,,cp,,,,,,
CP303,Capstone Project II ,0-0-6-3-3,,cp,,,,,,
GE111,Introduction to Environmental Science & Engineering,3-1-0-5-3,,gr,,,,,,
CS301 ,Databases,3-1-2-6-4,,pc,,,,,,